"name","gender","year","count"
"DALLAS","F",2018,467
"IRENE","F",2018,464
"LYLAH","F",2018,464
"IVORY","F",2018,462
"CHAYA","F",2018,461
"ROSA","F",2018,461
"ALEENA","F",2018,460
"BRAELYN","F",2018,459
"NOLA","F",2018,458
"ALMA","F",2018,455
"LEYLA","F",2018,455
"PEARL","F",2018,455
"ADDYSON","F",2018,454
"ROSELYN","F",2018,454
"LACEY","F",2018,453
"LENNOX","F",2018,453
"REINA","F",2018,453
"AURELIA","F",2018,450
"NOA","F",2018,448
"JANIYAH","F",2018,447
"JESSIE","F",2018,447
"MADISYN","F",2018,447
"SAIGE","F",2018,447
"ALIA","F",2018,445
"TIANA","F",2018,445
"ASTRID","F",2018,443
"CASSANDRA","F",2018,443
"KYLEIGH","F",2018,442
"ROMINA","F",2018,442
"STEVIE","F",2018,442
"HAYLEE","F",2018,441
"ZELDA","F",2018,440
"LILLIE","F",2018,439
"AILEEN","F",2018,436
"BRYLEE","F",2018,436
"EILEEN","F",2018,436
"YARA","F",2018,434
"ENSLEY","F",2018,432
"LAURYN","F",2018,432
"GIULIANA","F",2018,430
"LIVIA","F",2018,430
"ANYA","F",2018,429
"MIKAELA","F",2018,429
"PALMER","F",2018,429
"LYRA","F",2018,428
"MARA","F",2018,428
"MARINA","F",2018,427
"KAILEY","F",2018,426
"LIV","F",2018,426
"CLEMENTINE","F",2018,425
"KENNA","F",2018,422
"BRIAR","F",2018,420
"EMERIE","F",2018,419
"GALILEA","F",2018,419
"TIFFANY","F",2018,418
"BONNIE","F",2018,417
"ELYSE","F",2018,417
"CYNTHIA","F",2018,416
"FRIDA","F",2018,416
"KINSLEE","F",2018,416
"TATIANA","F",2018,414
"JOELLE","F",2018,413
"ARMANI","F",2018,412
"JOLIE","F",2018,412
"NALANI","F",2018,412
"RAYNA","F",2018,412
"YARELI","F",2018,412
"MEGHAN","F",2018,411
"REBEKAH","F",2018,411
"ADDILYNN","F",2018,410
"FAYE","F",2018,410
"ZARIYAH","F",2018,410
"LEA","F",2018,408
"ALIZA","F",2018,407
"JULISSA","F",2018,407
"LILYANA","F",2018,406
"ANIKA","F",2018,403
"KAIRI","F",2018,401
"ANIYA","F",2018,400
"NOEMI","F",2018,399
"ANGIE","F",2018,396
"CRYSTAL","F",2018,395
"BRIDGET","F",2018,394
"ARI","F",2018,393
"DAVINA","F",2018,391
"AMELIE","F",2018,390
"AMIRAH","F",2018,390
"ANNIKA","F",2018,390
"ELORA","F",2018,390
"XIOMARA","F",2018,390
"LINDA","F",2018,389
"HANA","F",2018,387
"LANEY","F",2018,387
"MERCY","F",2018,385
"HADASSAH","F",2018,382
"MADALYN","F",2018,382
"LOUISA","F",2018,381
"SIMONE","F",2018,381
"KORI","F",2018,380
"JILLIAN","F",2018,379
"ALENA","F",2018,377
"MALAYA","F",2018,377
"MILEY","F",2018,376
"MILAN","F",2018,375
"SARIYAH","F",2018,375
"MALANI","F",2018,371
"CLARISSA","F",2018,370
"NALA","F",2018,370
"PRINCESS","F",2018,370
"AMANI","F",2018,369
"ANALIA","F",2018,369
"ESTELLA","F",2018,368
"MILANA","F",2018,366
"AYA","F",2018,365
"CHANA","F",2018,360
"JAYDE","F",2018,360
"TENLEY","F",2018,360
"ZARIA","F",2018,360
"ITZAYANA","F",2018,359
"PENNY","F",2018,359
"AILANI","F",2018,358
"LARA","F",2018,358
"AUBRIELLA","F",2018,357
"CLARE","F",2018,357
"LINA","F",2018,357
"RHEA","F",2018,357
"BRIA","F",2018,356
"THALIA","F",2018,356
"KEYLA","F",2018,355
"HAISLEY","F",2018,354
"RYANN","F",2018,354
"ADDISYN","F",2018,353
"AMAIA","F",2018,353
"CHANEL","F",2018,353
"ELLEN","F",2018,353
"HARMONI","F",2018,353
"ALIANA","F",2018,352
"TINSLEY","F",2018,352
"LANDRY","F",2018,351
"PAISLEIGH","F",2018,351
"LEXIE","F",2018,348
"MYAH","F",2018,348
"RYLAN","F",2018,348
"DEBORAH","F",2018,347
"EMILEE","F",2018,347
"LAYLAH","F",2018,347
"NOVALEE","F",2018,347
"ELLIS","F",2018,346
"EMMELINE","F",2018,346
"AVALYNN","F",2018,344
"HADLEE","F",2018,344
"LEGACY","F",2018,344
"BRAYLEE","F",2018,343
"ELISABETH","F",2018,343
"KAYLIE","F",2018,343
"ANSLEY","F",2018,342
"DIOR","F",2018,342
"PAULA","F",2018,342
"BELEN","F",2018,341
"CORINNE","F",2018,341
"MALEAH","F",2018,341
"MARTHA","F",2018,341
"TERESA","F",2018,341
"SALMA","F",2018,340
"LOUISE","F",2018,339
"AVERI","F",2018,338
"LILIANNA","F",2018,338
"AMIYA","F",2018,337
"MILENA","F",2018,337
"ROYAL","F",2018,337
"AUBRIELLE","F",2018,335
"CALLIOPE","F",2018,335
"FRANKIE","F",2018,335
"NATASHA","F",2018,333
"KAMILAH","F",2018,332
"MEILANI","F",2018,332
"RAINA","F",2018,332
"AMAYAH","F",2018,331
"LAILAH","F",2018,331
"RAYNE","F",2018,331
"ZANIYAH","F",2018,331
"ISABELA","F",2018,330
"NATHALIE","F",2018,330
"MIAH","F",2018,329
"OPAL","F",2018,329
"KENIA","F",2018,328
"AZARIAH","F",2018,327
"HUNTER","F",2018,327
"TORI","F",2018,327
"ANDI","F",2018,326
"KEILY","F",2018,326
"LEANNA","F",2018,326
"SCARLETTE","F",2018,326
"JAELYN","F",2018,325
"SAOIRSE","F",2018,325
"SELENE","F",2018,325
"DALARY","F",2018,323
"LINDSEY","F",2018,323
"MARIANNA","F",2018,323
"RAMONA","F",2018,323
"ESTELLE","F",2018,322
"GIOVANNA","F",2018,322
"HOLLAND","F",2018,322
"NANCY","F",2018,322
"EMMALYNN","F",2018,321
"MYLAH","F",2018,321
"ROSALEE","F",2018,321
"SARIAH","F",2018,320
"ZOIE","F",2018,320
"BLAIRE","F",2018,319
"LYANNA","F",2018,319
"MAXINE","F",2018,319
"ANAIS","F",2018,318
"DANA","F",2018,318
"JUDITH","F",2018,318
"KIERA","F",2018,318
"JAELYNN","F",2018,316
"NOOR","F",2018,316
"KAI","F",2018,315
"ADALEE","F",2018,314
"OAKLEE","F",2018,314
"AMARIS","F",2018,313
"JAYCEE","F",2018,313
"BELLE","F",2018,312
"CAROLYN","F",2018,312
"DELLA","F",2018,312
"KARTER","F",2018,312
"SKY","F",2018,312
"TREASURE","F",2018,312
"VIENNA","F",2018,312
"JEWEL","F",2018,311
"RIVKA","F",2018,311
"ROSALYN","F",2018,311
"ALANNAH","F",2018,310
"ELLIANNA","F",2018,310
"SUNNY","F",2018,310
"CLAUDIA","F",2018,309
"CARA","F",2018,307
"HAILEE","F",2018,307
"ESTRELLA","F",2018,306
"HARLEIGH","F",2018,306
"ZHAVIA","F",2018,306
"ALIANNA","F",2018,305
"BRITTANY","F",2018,305
"JAYLENE","F",2018,305
"JOURNI","F",2018,305
"MARISSA","F",2018,304
"MAVIS","F",2018,304
"ILIANA","F",2018,303
"JURNEE","F",2018,303
"AISLINN","F",2018,302
"ALYSON","F",2018,302
"ELSA","F",2018,302
"KAMIYAH","F",2018,302
"KIANA","F",2018,302
"LISA","F",2018,302
"ARLETTE","F",2018,301
"KADENCE","F",2018,301
"KATHLEEN","F",2018,301
"HALLE","F",2018,300
"ERIKA","F",2018,298
"SYLVIE","F",2018,298
"ADELE","F",2018,296
"ERICA","F",2018,296
"VEDA","F",2018,296
"WHITNEY","F",2018,296
"BEXLEY","F",2018,295
"EMMALINE","F",2018,295
"GUADALUPE","F",2018,295
"AUGUST","F",2018,294
"BRYNLEIGH","F",2018,294
"GWEN","F",2018,294
"PROMISE","F",2018,294
"ALISSON","F",2018,293
"INDIA","F",2018,293
"MADALYNN","F",2018,293
"PALOMA","F",2018,293
"PATRICIA","F",2018,293
"SAMIRA","F",2018,293
"ALIYA","F",2018,291
"CASEY","F",2018,291
"JAZLYNN","F",2018,291
"PAULINA","F",2018,291
"DULCE","F",2018,290
"KALLIE","F",2018,289
"PERLA","F",2018,289
"ADRIENNE","F",2018,288
"ALORA","F",2018,288
"NATALY","F",2018,288
"AYLEEN","F",2018,287
"CHRISTINE","F",2018,287
"KAIYA","F",2018,287
"ARIADNE","F",2018,286
"KARLEE","F",2018,286
"BARBARA","F",2018,285
"LILLIANNA","F",2018,285
"RAQUEL","F",2018,285
"SANIYAH","F",2018,285
"YAMILETH","F",2018,285
"ARELY","F",2018,283
"CELIA","F",2018,283
"HEAVENLY","F",2018,283
"KAYLIN","F",2018,283
"MARISOL","F",2018,282
"MARLEIGH","F",2018,282
"AVALYN","F",2018,281
"BERKLEY","F",2018,281
"KATALEYA","F",2018,279
"ZAINAB","F",2018,279
"DANI","F",2018,278
"EGYPT","F",2018,278
"JOYCE","F",2018,278
"KENLEY","F",2018,278
"ANNABEL","F",2018,277
"KAELYN","F",2018,277
"ETTA","F",2018,276
"HADLEIGH","F",2018,276
"JOSELYN","F",2018,276
"LUELLA","F",2018,276
"JAYLEE","F",2018,275
"ZOLA","F",2018,275
"ALISHA","F",2018,274
"EZRA","F",2018,274
"QUEEN","F",2018,274
"AMIA","F",2018,273
"ANNALEE","F",2018,273
"BELLAMY","F",2018,273
"PAOLA","F",2018,273
"TINLEY","F",2018,273
"VIOLETA","F",2018,273
"JENESIS","F",2018,272
